year,precipitation,count,fatalities,injuries,majinjury,mininjury,possinjury,unkinjury,propdmg
2014,4.35,3017,19.0,1191.0,88.0,379.0,682.0,42.0,19511105.0
2015,4.18,3986,23.0,1606.0,71.0,460.0,966.0,109.0,26318128.0
2016,6.12,2679,7.0,1013.0,46.0,277.0,611.0,79.0,17648125.0
2017,2.31,3047,9.0,1190.0,69.0,327.0,692.0,102.0,20706389.0
2018,8.1,3389,12.0,1260.0,51.0,357.0,743.0,109.0,22543154.0
2019,6.21,3093,18.0,1244.0,66.0,355.0,728.0,95.0,21840047.0
2020,4.07,2276,17.0,845.0,47.0,232.0,472.0,94.0,17328310.0
2021,1.81,2383,11.0,975.0,41.0,299.0,539.0,96.0,19965911.0
2022,1.9,2366,17.0,912.0,59.0,288.0,468.0,97.0,20488137.0
2023,2.14,1962,9.0,732.0,35.0,250.0,371.0,76.0,18050057.0
2024,0.69,1490,7.0,525.0,26.0,157.0,274.0,68.0,14077053.0
