,Date,Value,Anomaly
0,189509,3.12,-0.55
1,189609,3.97,0.3
2,189709,1.97,-1.7
3,189809,2.62,-1.05
4,189909,0.96,-2.71
5,190009,5.02,1.35
6,190109,4.81,1.14
7,190209,4.45,0.78
8,190309,3.72,0.05
9,190409,2.84,-0.83
10,190509,3.56,-0.11
11,190609,4.14,0.47
12,190709,2.86,-0.81
13,190809,1.25,-2.42
14,190909,3.64,-0.03
15,191009,3.74,0.07
16,191109,5.0,1.33
17,191209,3.99,0.32
18,191309,3.37,-0.3
19,191409,7.47,3.8
20,191509,6.08,2.41
21,191609,3.85,0.18
22,191709,2.87,-0.8
23,191809,1.84,-1.83
24,191909,5.3,1.63
25,192009,3.23,-0.44
26,192109,6.69,3.02
27,192209,2.08,-1.59
28,192309,5.95,2.28
29,192409,3.0,-0.67
30,192509,5.04,1.37
31,192609,9.56,5.89
32,192709,4.76,1.09
33,192809,2.94,-0.73
34,192909,3.78,0.11
35,193009,2.44,-1.23
36,193109,6.73,3.06
37,193209,2.1,-1.57
38,193309,4.16,0.49
39,193409,4.97,1.3
40,193509,3.34,-0.33
41,193609,6.99,3.32
42,193709,1.54,-2.13
43,193809,5.95,2.28
44,193909,0.84,-2.83
45,194009,0.87,-2.8
46,194109,7.43,3.76
47,194209,4.09,0.42
48,194309,2.22,-1.45
49,194409,2.25,-1.42
50,194509,4.21,0.54
51,194609,5.01,1.34
52,194709,2.1,-1.57
53,194809,2.03,-1.64
54,194909,3.2,-0.47
55,195009,2.09,-1.58
56,195109,2.47,-1.2
57,195209,0.85,-2.82
58,195309,0.92,-2.75
59,195409,2.19,-1.48
60,195509,3.05,-0.62
61,195609,1.54,-2.13
62,195709,2.7,-0.97
63,195809,3.07,-0.6
64,195909,4.35,0.68
65,196009,3.53,-0.14
66,196109,7.26,3.59
67,196209,2.17,-1.5
68,196309,2.47,-1.2
69,196409,4.56,0.89
70,196509,9.84,6.17
71,196609,1.43,-2.24
72,196709,2.61,-1.06
73,196809,4.66,0.99
74,196909,2.34,-1.33
75,197009,6.1,2.43
76,197109,2.42,-1.25
77,197209,5.61,1.94
78,197309,6.92,3.25
79,197409,1.59,-2.08
80,197509,2.14,-1.53
81,197609,1.47,-2.2
82,197709,4.69,1.02
83,197809,5.51,1.84
84,197909,1.46,-2.21
85,198009,3.13,-0.54
86,198109,2.59,-1.08
87,198209,3.41,-0.26
88,198309,4.1,0.43
89,198409,2.07,-1.6
90,198509,5.31,1.64
91,198609,6.79,3.12
92,198709,2.57,-1.1
93,198809,3.61,-0.06
94,198909,4.84,1.17
95,199009,1.39,-2.28
96,199109,2.79,-0.88
97,199209,5.58,1.91
98,199309,3.69,0.02
99,199409,3.58,-0.09
100,199509,2.96,-0.71
101,199609,2.87,-0.8
102,199709,3.11,-0.56
103,199809,2.06,-1.61
104,199909,1.84,-1.83
105,200009,2.11,-1.56
106,200109,4.07,0.4
107,200209,1.71,-1.96
108,200309,3.11,-0.56
109,200409,2.66,-1.01
110,200509,3.29,-0.38
111,200609,4.22,0.55
112,200709,2.87,-0.8
113,200809,4.16,0.49
114,200909,1.73,-1.94
115,201009,5.4,1.73
116,201109,1.68,-1.99
117,201209,1.62,-2.05
118,201309,1.94,-1.73
119,201409,4.35,0.68
120,201509,4.18,0.51
121,201609,6.12,2.45
122,201709,2.31,-1.36
123,201809,8.1,4.43
124,201909,6.21,2.54
125,202009,4.07,0.4
126,202109,1.81,-1.86
127,202209,1.9,-1.77
128,202309,2.14,-1.53
129,202409,0.69,-2.98
